origin;destination;airline;departure;arrival;price
PEK-China;MEL-Austrália;AirFrance;30/04/2022 11:00:00 (-03:00);01/05/2022 06:00:00 (Z);2516.00
MEX-México;GRU-Brasil;United Airlines;05/04/2022 19:00:00 (-11:00);06/04/2022 06:00:00 (-10:00);4667.00
KIN-Jamaica;LIS-Portugal;Ethiopian Airlines;10/04/2022 14:00:00 (-08:00);11/04/2022 14:00:00 (-02:00);2857.00
JFK-Estados Unidos;KIN-Jamaica;Ethiopian Airlines;24/04/2022 02:00:00 (-12:00);24/04/2022 15:00:00 (-06:00);4631.00
PEK-China;LIS-Portugal;Emirates;04/04/2022 07:00:00 (+08:00);04/04/2022 06:00:00 (-03:00);2525.00
PEK-China;FEN-Brasil;Emirates;22/04/2022 19:00:00 (-12:00);24/04/2022 07:00:00 (+12:00);3089.00
FEN-Brasil;MEL-Austrália;Ethiopian Airlines;01/04/2022 13:00:00 (+07:00);02/04/2022 00:00:00 (+06:00);3201.00
KIN-Jamaica;LIS-Portugal;Qatar Airways;24/04/2022 11:00:00 (-01:00);24/04/2022 13:00:00 (-06:00);4074.00
NRT-Japão;GRU-Brasil;United Airlines;03/04/2022 00:00:00 (-06:00);03/04/2022 20:00:00 (+07:00);3697.00
FEN-Brasil;MEL-Austrália;Qatar Airways;09/04/2022 00:00:00 (-08:00);09/04/2022 19:00:00 (+08:00);4455.00
KIN-Jamaica;YYC-Canada;Lufthansa;19/04/2022 07:00:00 (-05:00);20/04/2022 07:00:00 (-01:00);3757.00
GRU-Brasil;KIN-Jamaica;Lufthansa;22/04/2022 04:00:00 (+08:00);22/04/2022 15:00:00 (+03:00);3033.00
GRU-Brasil;LIS-Portugal;LATAM Airlines;23/04/2022 13:00:00 (+03:00);23/04/2022 13:00:00 (Z);2848.00
MEX-México;FEN-Brasil;American Airlines;12/04/2022 05:00:00 (-02:00);13/04/2022 08:00:00 (+02:00);3785.00
KIN-Jamaica;YYC-Canada;AirCanada;29/04/2022 15:00:00 (-08:00);30/04/2022 09:00:00 (-11:00);2454.00
JFK-Estados Unidos;MEX-México;Lufthansa;26/04/2022 06:00:00 (+02:00);26/04/2022 10:00:00 (-07:00);2918.00
MEX-México;GRU-Brasil;Emirates;14/04/2022 18:00:00 (-01:00);14/04/2022 14:00:00 (-07:00);4018.00
YYC-Canada;LIS-Portugal;Emirates;24/04/2022 03:00:00 (+02:00);24/04/2022 14:00:00 (-10:00);4542.00
MEX-México;LIS-Portugal;AirFrance;15/04/2022 17:00:00 (+10:00);15/04/2022 07:00:00 (-09:00);2871.00
JFK-Estados Unidos;PEK-China;LATAM Airlines;09/04/2022 09:00:00 (-03:00);09/04/2022 15:00:00 (-07:00);4441.00
PEK-China;FEN-Brasil;United Airlines;08/04/2022 19:00:00 (+10:00);08/04/2022 21:00:00 (-05:00);2796.00
JFK-Estados Unidos;FEN-Brasil;American Airlines;01/04/2022 08:00:00 (+08:00);31/03/2022 21:00:00 (-07:00);4024.00
PEK-China;KIN-Jamaica;Emirates;02/04/2022 21:00:00 (-06:00);04/04/2022 14:00:00 (+11:00);2696.00
MEX-México;FEN-Brasil;Lufthansa;11/04/2022 13:00:00 (+09:00);11/04/2022 07:00:00 (-03:00);4432.00
NRT-Japão;GRU-Brasil;Qatar Airways;26/04/2022 09:00:00 (+04:00);26/04/2022 09:00:00 (-12:00);2972.00
MEX-México;MEL-Austrália;Ethiopian Airlines;20/04/2022 15:00:00 (+03:00);21/04/2022 13:00:00 (+08:00);2669.00
NRT-Japão;KIN-Jamaica;United Airlines;03/04/2022 13:00:00 (+10:00);03/04/2022 09:00:00 (-10:00);3040.00
YYC-Canada;MEL-Austrália;American Airlines;02/04/2022 13:00:00 (+05:00);03/04/2022 18:00:00 (+11:00);2026.00
PEK-China;LIS-Portugal;Gol Airlines;04/04/2022 00:00:00 (-02:00);05/04/2022 07:00:00 (+11:00);2146.00
NRT-Japão;PEK-China;Ethiopian Airlines;01/04/2022 00:00:00 (+01:00);02/04/2022 03:00:00 (+11:00);4173.00
NRT-Japão;LIS-Portugal;Gol Airlines;27/04/2022 09:00:00 (-06:00);28/04/2022 18:00:00 (+11:00);4984.00
YYC-Canada;MEL-Austrália;Emirates;19/04/2022 02:00:00 (-05:00);19/04/2022 11:00:00 (Z);3191.00
NRT-Japão;GRU-Brasil;AirCanada;28/04/2022 16:00:00 (-01:00);29/04/2022 19:00:00 (+08:00);2746.00
JFK-Estados Unidos;YYC-Canada;Emirates;01/04/2022 07:00:00 (-10:00);02/04/2022 04:00:00 (-09:00);3897.00
PEK-China;GRU-Brasil;American Airlines;22/04/2022 01:00:00 (-08:00);22/04/2022 22:00:00 (+07:00);4602.00
KIN-Jamaica;MEL-Austrália;American Airlines;19/04/2022 02:00:00 (+09:00);20/04/2022 01:00:00 (+09:00);3052.00
MEX-México;YYC-Canada;AirFrance;19/04/2022 13:00:00 (+05:00);19/04/2022 21:00:00 (+07:00);2301.00
PEK-China;MEL-Austrália;Lufthansa;02/04/2022 20:00:00 (-12:00);04/04/2022 16:00:00 (+08:00);2857.00
PEK-China;MEL-Austrália;Emirates;09/04/2022 11:00:00 (-06:00);10/04/2022 01:00:00 (+07:00);2321.00
YYC-Canada;LIS-Portugal;Ethiopian Airlines;17/04/2022 03:00:00 (+11:00);17/04/2022 11:00:00 (+07:00);3846.00
JFK-Estados Unidos;YYC-Canada;AirCanada;28/04/2022 16:00:00 (+10:00);28/04/2022 03:00:00 (-04:00);3911.00
JFK-Estados Unidos;YYC-Canada;AirFrance;20/04/2022 22:00:00 (+03:00);22/04/2022 05:00:00 (+12:00);2272.00
GRU-Brasil;MEL-Austrália;LATAM Airlines;22/04/2022 21:00:00 (-05:00);24/04/2022 02:00:00 (+01:00);4775.00
MEX-México;YYC-Canada;Gol Airlines;21/04/2022 23:00:00 (Z);22/04/2022 03:00:00 (Z);4786.00
PEK-China;FEN-Brasil;Qatar Airways;08/04/2022 04:00:00 (-03:00);08/04/2022 13:00:00 (+01:00);2736.00
NRT-Japão;YYC-Canada;American Airlines;07/04/2022 03:00:00 (-08:00);07/04/2022 09:00:00 (-12:00);4847.00
FEN-Brasil;LIS-Portugal;Emirates;01/04/2022 12:00:00 (-07:00);03/04/2022 00:00:00 (+12:00);4105.00
JFK-Estados Unidos;PEK-China;Lufthansa;23/04/2022 14:00:00 (-05:00);24/04/2022 14:00:00 (-02:00);4678.00
MEX-México;MEL-Austrália;Gol Airlines;30/04/2022 01:00:00 (-02:00);30/04/2022 19:00:00 (+03:00);2588.00
GRU-Brasil;LIS-Portugal;Gol Airlines;30/04/2022 17:00:00 (+03:00);01/05/2022 13:00:00 (+07:00);3007.00
YYC-Canada;LIS-Portugal;AirCanada;11/04/2022 13:00:00 (-01:00);11/04/2022 10:00:00 (-05:00);4600.00
JFK-Estados Unidos;MEX-México;AirCanada;10/04/2022 01:00:00 (+10:00);10/04/2022 07:00:00 (+04:00);2645.00
NRT-Japão;GRU-Brasil;LATAM Airlines;19/04/2022 02:00:00 (+08:00);19/04/2022 02:00:00 (-08:00);4304.00
MEX-México;NRT-Japão;AirFrance;18/04/2022 13:00:00 (-08:00);19/04/2022 07:00:00 (-02:00);4096.00
FEN-Brasil;YYC-Canada;AirFrance;29/04/2022 10:00:00 (+06:00);30/04/2022 07:00:00 (+10:00);2739.00
GRU-Brasil;YYC-Canada;Emirates;11/04/2022 22:00:00 (Z);11/04/2022 23:00:00 (-11:00);2781.00
JFK-Estados Unidos;FEN-Brasil;Ethiopian Airlines;07/04/2022 16:00:00 (+02:00);07/04/2022 17:00:00 (-11:00);4133.00
PEK-China;YYC-Canada;Lufthansa;05/04/2022 06:00:00 (+02:00);06/04/2022 03:00:00 (-01:00);2326.00
MEX-México;PEK-China;Emirates;10/04/2022 22:00:00 (-05:00);11/04/2022 16:00:00 (Z);4348.00
YYC-Canada;MEL-Austrália;Qatar Airways;23/04/2022 03:00:00 (-12:00);23/04/2022 22:00:00 (+02:00);4073.00
NRT-Japão;KIN-Jamaica;Lufthansa;05/04/2022 22:00:00 (-03:00);06/04/2022 11:00:00 (-08:00);2428.00
KIN-Jamaica;YYC-Canada;Gol Airlines;07/04/2022 18:00:00 (+06:00);08/04/2022 06:00:00 (+02:00);4472.00
FEN-Brasil;LIS-Portugal;Ethiopian Airlines;10/04/2022 19:00:00 (+06:00);10/04/2022 22:00:00 (+07:00);2585.00
MEX-México;YYC-Canada;Emirates;26/04/2022 11:00:00 (+01:00);26/04/2022 10:00:00 (-11:00);2129.00
JFK-Estados Unidos;GRU-Brasil;Emirates;05/04/2022 20:00:00 (+12:00);05/04/2022 03:00:00 (-06:00);4710.00
PEK-China;YYC-Canada;Qatar Airways;13/04/2022 05:00:00 (+04:00);13/04/2022 17:00:00 (+05:00);2380.00
NRT-Japão;GRU-Brasil;Emirates;20/04/2022 18:00:00 (-09:00);21/04/2022 01:00:00 (-09:00);3625.00
KIN-Jamaica;MEL-Austrália;United Airlines;30/04/2022 04:00:00 (+05:00);30/04/2022 09:00:00 (-01:00);2428.00
NRT-Japão;GRU-Brasil;Lufthansa;03/04/2022 12:00:00 (+02:00);03/04/2022 12:00:00 (-05:00);4098.00
PEK-China;MEL-Austrália;AirCanada;30/04/2022 03:00:00 (-04:00);01/05/2022 07:00:00 (+01:00);4717.00
FEN-Brasil;LIS-Portugal;United Airlines;13/04/2022 18:00:00 (+03:00);14/04/2022 18:00:00 (+12:00);3317.00
MEX-México;KIN-Jamaica;Ethiopian Airlines;15/04/2022 23:00:00 (-12:00);16/04/2022 21:00:00 (+09:00);3495.00
JFK-Estados Unidos;NRT-Japão;AirFrance;19/04/2022 16:00:00 (+09:00);19/04/2022 06:00:00 (-08:00);2601.00
JFK-Estados Unidos;LIS-Portugal;Gol Airlines;22/04/2022 16:00:00 (Z);23/04/2022 05:00:00 (+06:00);2293.00
MEX-México;NRT-Japão;American Airlines;04/04/2022 16:00:00 (+02:00);04/04/2022 11:00:00 (-05:00);2748.00
NRT-Japão;FEN-Brasil;Gol Airlines;05/04/2022 09:00:00 (+07:00);05/04/2022 18:00:00 (+12:00);2748.00
MEX-México;MEL-Austrália;Qatar Airways;11/04/2022 05:00:00 (-07:00);11/04/2022 06:00:00 (-12:00);4455.00
MEX-México;KIN-Jamaica;Emirates;04/04/2022 17:00:00 (+09:00);04/04/2022 05:00:00 (-06:00);3545.00
JFK-Estados Unidos;PEK-China;Gol Airlines;13/04/2022 22:00:00 (-03:00);15/04/2022 06:00:00 (+08:00);2061.00
NRT-Japão;GRU-Brasil;Ethiopian Airlines;25/04/2022 06:00:00 (+10:00);25/04/2022 05:00:00 (-10:00);2263.00
JFK-Estados Unidos;MEL-Austrália;Emirates;26/04/2022 13:00:00 (+06:00);25/04/2022 21:00:00 (-11:00);2522.00
MEX-México;YYC-Canada;American Airlines;08/04/2022 21:00:00 (+12:00);09/04/2022 05:00:00 (+07:00);3616.00
KIN-Jamaica;MEL-Austrália;Qatar Airways;03/04/2022 15:00:00 (-06:00);04/04/2022 03:00:00 (+02:00);3547.00
PEK-China;KIN-Jamaica;AirFrance;13/04/2022 09:00:00 (Z);13/04/2022 17:00:00 (-02:00);4757.00
GRU-Brasil;YYC-Canada;Qatar Airways;07/04/2022 00:00:00 (-10:00);07/04/2022 20:00:00 (-02:00);3609.00
GRU-Brasil;FEN-Brasil;Gol Airlines;18/04/2022 19:00:00 (+05:00);19/04/2022 00:00:00 (-10:00);4946.00
FEN-Brasil;LIS-Portugal;AirCanada;14/04/2022 02:00:00 (-09:00);15/04/2022 00:00:00 (+12:00);2521.00
KIN-Jamaica;FEN-Brasil;Qatar Airways;08/04/2022 13:00:00 (+08:00);08/04/2022 23:00:00 (+06:00);2071.00
MEX-México;GRU-Brasil;American Airlines;02/04/2022 02:00:00 (+06:00);02/04/2022 20:00:00 (Z);3905.00
MEX-México;KIN-Jamaica;United Airlines;13/04/2022 01:00:00 (+11:00);13/04/2022 00:00:00 (-04:00);2841.00
JFK-Estados Unidos;MEL-Austrália;AirFrance;05/04/2022 02:00:00 (+04:00);05/04/2022 21:00:00 (+04:00);2600.00
GRU-Brasil;MEL-Austrália;American Airlines;23/04/2022 01:00:00 (-02:00);23/04/2022 23:00:00 (+01:00);4116.00
KIN-Jamaica;LIS-Portugal;Emirates;27/04/2022 14:00:00 (-01:00);27/04/2022 05:00:00 (-11:00);4309.00
JFK-Estados Unidos;GRU-Brasil;Gol Airlines;08/04/2022 22:00:00 (+09:00);08/04/2022 15:00:00 (-11:00);2438.00
KIN-Jamaica;YYC-Canada;American Airlines;01/04/2022 11:00:00 (+01:00);02/04/2022 02:00:00 (+06:00);3893.00
JFK-Estados Unidos;KIN-Jamaica;Lufthansa;06/04/2022 16:00:00 (+11:00);06/04/2022 14:00:00 (Z);2073.00
JFK-Estados Unidos;KIN-Jamaica;LATAM Airlines;11/04/2022 15:00:00 (+09:00);12/04/2022 05:00:00 (+03:00);2973.00
NRT-Japão;MEL-Austrália;LATAM Airlines;03/04/2022 04:00:00 (-12:00);04/04/2022 11:00:00 (+08:00);3399.00
MEX-México;FEN-Brasil;Ethiopian Airlines;03/04/2022 21:00:00 (+10:00);04/04/2022 00:00:00 (-08:00);4078.00
KIN-Jamaica;YYC-Canada;United Airlines;18/04/2022 07:00:00 (Z);18/04/2022 19:00:00 (-02:00);2990.00
JFK-Estados Unidos;NRT-Japão;United Airlines;29/04/2022 17:00:00 (+03:00);29/04/2022 04:00:00 (-12:00);4112.00
MEX-México;GRU-Brasil;Gol Airlines;24/04/2022 23:00:00 (-03:00);25/04/2022 18:00:00 (-05:00);4074.00
GRU-Brasil;KIN-Jamaica;Emirates;30/04/2022 00:00:00 (+10:00);30/04/2022 18:00:00 (+06:00);4686.00
NRT-Japão;YYC-Canada;AirCanada;13/04/2022 00:00:00 (+04:00);13/04/2022 15:00:00 (+04:00);2920.00
GRU-Brasil;LIS-Portugal;Lufthansa;18/04/2022 08:00:00 (-01:00);19/04/2022 19:00:00 (+12:00);4192.00
MEX-México;MEL-Austrália;United Airlines;27/04/2022 13:00:00 (-12:00);28/04/2022 16:00:00 (+05:00);4800.00
MEX-México;PEK-China;AirCanada;05/04/2022 08:00:00 (+07:00);05/04/2022 12:00:00 (-03:00);3962.00
FEN-Brasil;LIS-Portugal;AirFrance;01/04/2022 19:00:00 (+03:00);02/04/2022 10:00:00 (+08:00);3305.00
MEX-México;YYC-Canada;Lufthansa;13/04/2022 22:00:00 (-10:00);14/04/2022 15:00:00 (-01:00);2341.00
FEN-Brasil;LIS-Portugal;Gol Airlines;21/04/2022 08:00:00 (+11:00);21/04/2022 09:00:00 (-09:00);2242.00
GRU-Brasil;MEL-Austrália;Gol Airlines;13/04/2022 22:00:00 (-03:00);14/04/2022 08:00:00 (-11:00);3524.00
PEK-China;GRU-Brasil;AirFrance;09/04/2022 07:00:00 (-10:00);10/04/2022 18:00:00 (+04:00);2186.00
GRU-Brasil;FEN-Brasil;AirCanada;25/04/2022 17:00:00 (+07:00);25/04/2022 18:00:00 (-03:00);3793.00
JFK-Estados Unidos;MEL-Austrália;Gol Airlines;27/04/2022 14:00:00 (+04:00);28/04/2022 07:00:00 (+05:00);2550.00
FEN-Brasil;MEL-Austrália;United Airlines;17/04/2022 13:00:00 (+12:00);17/04/2022 10:00:00 (-08:00);3950.00
KIN-Jamaica;LIS-Portugal;AirFrance;02/04/2022 08:00:00 (+09:00);02/04/2022 15:00:00 (-02:00);4724.00
JFK-Estados Unidos;MEX-México;American Airlines;01/04/2022 01:00:00 (-10:00);02/04/2022 01:00:00 (-05:00);4677.00
JFK-Estados Unidos;GRU-Brasil;LATAM Airlines;12/04/2022 01:00:00 (+04:00);12/04/2022 07:00:00 (+06:00);3364.00
NRT-Japão;KIN-Jamaica;Ethiopian Airlines;04/04/2022 12:00:00 (-07:00);06/04/2022 02:00:00 (+07:00);2359.00
YYC-Canada;LIS-Portugal;Gol Airlines;16/04/2022 03:00:00 (+10:00);16/04/2022 08:00:00 (-09:00);4012.00
MEL-Austrália;LIS-Portugal;Gol Airlines;30/04/2022 20:00:00 (+10:00);01/05/2022 14:00:00 (+09:00);4052.00
NRT-Japão;FEN-Brasil;LATAM Airlines;08/04/2022 06:00:00 (+08:00);08/04/2022 04:00:00 (-02:00);3293.00
FEN-Brasil;YYC-Canada;Lufthansa;07/04/2022 08:00:00 (+07:00);07/04/2022 10:00:00 (Z);4675.00
FEN-Brasil;MEL-Austrália;Emirates;23/04/2022 18:00:00 (-11:00);25/04/2022 09:00:00 (+09:00);4191.00
GRU-Brasil;MEL-Austrália;Lufthansa;10/04/2022 14:00:00 (-07:00);11/04/2022 06:00:00 (+03:00);4848.00
KIN-Jamaica;FEN-Brasil;AirCanada;22/04/2022 10:00:00 (-11:00);23/04/2022 06:00:00 (-12:00);3408.00
JFK-Estados Unidos;NRT-Japão;Gol Airlines;09/04/2022 20:00:00 (+06:00);10/04/2022 04:00:00 (Z);3397.00
PEK-China;YYC-Canada;Ethiopian Airlines;26/04/2022 07:00:00 (+01:00);26/04/2022 15:00:00 (+04:00);4354.00
NRT-Japão;PEK-China;Lufthansa;23/04/2022 17:00:00 (-09:00);24/04/2022 19:00:00 (+09:00);3717.00
GRU-Brasil;YYC-Canada;American Airlines;19/04/2022 01:00:00 (-09:00);19/04/2022 15:00:00 (-08:00);4341.00
PEK-China;KIN-Jamaica;United Airlines;14/04/2022 23:00:00 (-11:00);16/04/2022 02:00:00 (-01:00);3478.00
JFK-Estados Unidos;MEL-Austrália;American Airlines;24/04/2022 04:00:00 (+04:00);24/04/2022 07:00:00 (-01:00);2907.00
YYC-Canada;LIS-Portugal;Qatar Airways;05/04/2022 04:00:00 (-01:00);06/04/2022 06:00:00 (+10:00);4256.00
