origin;destination;airline;departure;arrival;price;time 
YYC-Canada;LIS-Portugal;AirCanada;2022-04-11T13:00-01:00;2022-04-11T10:00-05:00;R$4600.0;1
JFK-Estados Unidos;MEX-México;AirCanada;2022-04-10T01:00+10:00;2022-04-10T07:00+04:00;R$2645.0;12
NRT-Japão;GRU-Brasil;LATAM Airlines;2022-04-19T02:00+08:00;2022-04-19T02:00-08:00;R$4304.0;16
MEX-México;NRT-Japão;AirFrance;2022-04-18T13:00-08:00;2022-04-19T07:00-02:00;R$4096.0;12
FEN-Brasil;YYC-Canada;AirFrance;2022-04-29T10:00+06:00;2022-04-30T07:00+10:00;R$2739.0;17
GRU-Brasil;YYC-Canada;Emirates;2022-04-11T22:00Z;2022-04-11T23:00-11:00;R$2781.0;12
JFK-Estados Unidos;FEN-Brasil;Ethiopian Airlines;2022-04-07T16:00+02:00;2022-04-07T17:00-11:00;R$4133.0;14
PEK-China;YYC-Canada;Lufthansa;2022-04-05T06:00+02:00;2022-04-06T03:00-01:00;R$2326.0;24
MEX-México;PEK-China;Emirates;2022-04-10T22:00-05:00;2022-04-11T16:00Z;R$4348.0;13
YYC-Canada;MEL-Austrália;Qatar Airways;2022-04-23T03:00-12:00;2022-04-23T22:00+02:00;R$4073.0;5
NRT-Japão;KIN-Jamaica;Lufthansa;2022-04-05T22:00-03:00;2022-04-06T11:00-08:00;R$2428.0;18
KIN-Jamaica;YYC-Canada;Gol Airlines;2022-04-07T18:00+06:00;2022-04-08T06:00+02:00;R$4472.0;16
FEN-Brasil;LIS-Portugal;Ethiopian Airlines;2022-04-10T19:00+06:00;2022-04-10T22:00+07:00;R$2585.0;2
MEX-México;YYC-Canada;Emirates;2022-04-26T11:00+01:00;2022-04-26T10:00-11:00;R$2129.0;11
JFK-Estados Unidos;GRU-Brasil;Emirates;2022-04-05T20:00+12:00;2022-04-05T03:00-06:00;R$4710.0;1
PEK-China;YYC-Canada;Qatar Airways;2022-04-13T05:00+04:00;2022-04-13T17:00+05:00;R$2380.0;11
NRT-Japão;GRU-Brasil;Emirates;2022-04-20T18:00-09:00;2022-04-21T01:00-09:00;R$3625.0;7
KIN-Jamaica;MEL-Austrália;United Airlines;2022-04-30T04:00+05:00;2022-04-30T09:00-01:00;R$2428.0;11
NRT-Japão;GRU-Brasil;Lufthansa;2022-04-03T12:00+02:00;2022-04-03T12:00-05:00;R$4098.0;7
PEK-China;MEL-Austrália;AirCanada;2022-04-30T03:00-04:00;2022-05-01T07:00+01:00;R$4717.0;23
FEN-Brasil;LIS-Portugal;United Airlines;2022-04-13T18:00+03:00;2022-04-14T18:00+12:00;R$3317.0;15
MEX-México;KIN-Jamaica;Ethiopian Airlines;2022-04-15T23:00-12:00;2022-04-16T21:00+09:00;R$3495.0;1
JFK-Estados Unidos;NRT-Japão;AirFrance;2022-04-19T16:00+09:00;2022-04-19T06:00-08:00;R$2601.0;7
JFK-Estados Unidos;LIS-Portugal;Gol Airlines;2022-04-22T16:00Z;2022-04-23T05:00+06:00;R$2293.0;7
MEX-México;NRT-Japão;American Airlines;2022-04-04T16:00+02:00;2022-04-04T11:00-05:00;R$2748.0;2
NRT-Japão;FEN-Brasil;Gol Airlines;2022-04-05T09:00+07:00;2022-04-05T18:00+12:00;R$2748.0;4
MEX-México;MEL-Austrália;Qatar Airways;2022-04-11T05:00-07:00;2022-04-11T06:00-12:00;R$4455.0;6
MEX-México;KIN-Jamaica;Emirates;2022-04-04T17:00+09:00;2022-04-04T05:00-06:00;R$3545.0;3
JFK-Estados Unidos;PEK-China;Gol Airlines;2022-04-13T22:00-03:00;2022-04-15T06:00+08:00;R$2061.0;21
NRT-Japão;GRU-Brasil;Ethiopian Airlines;2022-04-25T06:00+10:00;2022-04-25T05:00-10:00;R$2263.0;19
JFK-Estados Unidos;MEL-Austrália;Emirates;2022-04-26T13:00+06:00;2022-04-25T21:00-11:00;R$2522.0;1
MEX-México;YYC-Canada;American Airlines;2022-04-08T21:00+12:00;2022-04-09T05:00+07:00;R$3616.0;13
KIN-Jamaica;MEL-Austrália;Qatar Airways;2022-04-03T15:00-06:00;2022-04-04T03:00+02:00;R$3547.0;4
PEK-China;KIN-Jamaica;AirFrance;2022-04-13T09:00Z;2022-04-13T17:00-02:00;R$4757.0;10
GRU-Brasil;YYC-Canada;Qatar Airways;2022-04-07T00:00-10:00;2022-04-07T20:00-02:00;R$3609.0;12
GRU-Brasil;FEN-Brasil;Gol Airlines;2022-04-18T19:00+05:00;2022-04-19T00:00-10:00;R$4946.0;20
FEN-Brasil;LIS-Portugal;AirCanada;2022-04-14T02:00-09:00;2022-04-15T00:00+12:00;R$2521.0;1
KIN-Jamaica;FEN-Brasil;Qatar Airways;2022-04-08T13:00+08:00;2022-04-08T23:00+06:00;R$2071.0;12
MEX-México;GRU-Brasil;American Airlines;2022-04-02T02:00+06:00;2022-04-02T20:00Z;R$3905.0;24
MEX-México;KIN-Jamaica;United Airlines;2022-04-13T01:00+11:00;2022-04-13T00:00-04:00;R$2841.0;14
JFK-Estados Unidos;MEL-Austrália;AirFrance;2022-04-05T02:00+04:00;2022-04-05T21:00+04:00;R$2600.0;19
GRU-Brasil;MEL-Austrália;American Airlines;2022-04-23T01:00-02:00;2022-04-23T23:00+01:00;R$4116.0;19
KIN-Jamaica;LIS-Portugal;Emirates;2022-04-27T14:00-01:00;2022-04-27T05:00-11:00;R$4309.0;1
JFK-Estados Unidos;GRU-Brasil;Gol Airlines;2022-04-08T22:00+09:00;2022-04-08T15:00-11:00;R$2438.0;13
KIN-Jamaica;YYC-Canada;American Airlines;2022-04-01T11:00+01:00;2022-04-02T02:00+06:00;R$3893.0;10
JFK-Estados Unidos;KIN-Jamaica;Lufthansa;2022-04-06T16:00+11:00;2022-04-06T14:00Z;R$2073.0;9
JFK-Estados Unidos;KIN-Jamaica;LATAM Airlines;2022-04-11T15:00+09:00;2022-04-12T05:00+03:00;R$2973.0;20
NRT-Japão;MEL-Austrália;LATAM Airlines;2022-04-03T04:00-12:00;2022-04-04T11:00+08:00;R$3399.0;11
MEX-México;FEN-Brasil;Ethiopian Airlines;2022-04-03T21:00+10:00;2022-04-04T00:00-08:00;R$4078.0;21
KIN-Jamaica;YYC-Canada;United Airlines;2022-04-18T07:00Z;2022-04-18T19:00-02:00;R$2990.0;14
JFK-Estados Unidos;NRT-Japão;United Airlines;2022-04-29T17:00+03:00;2022-04-29T04:00-12:00;R$4112.0;2
MEX-México;GRU-Brasil;Gol Airlines;2022-04-24T23:00-03:00;2022-04-25T18:00-05:00;R$4074.0;21
GRU-Brasil;KIN-Jamaica;Emirates;2022-04-30T00:00+10:00;2022-04-30T18:00+06:00;R$4686.0;22
NRT-Japão;YYC-Canada;AirCanada;2022-04-13T00:00+04:00;2022-04-13T15:00+04:00;R$2920.0;15
GRU-Brasil;LIS-Portugal;Lufthansa;2022-04-18T08:00-01:00;2022-04-19T19:00+12:00;R$4192.0;22
MEX-México;MEL-Austrália;United Airlines;2022-04-27T13:00-12:00;2022-04-28T16:00+05:00;R$4800.0;10
MEX-México;PEK-China;AirCanada;2022-04-05T08:00+07:00;2022-04-05T12:00-03:00;R$3962.0;14
FEN-Brasil;LIS-Portugal;AirFrance;2022-04-01T19:00+03:00;2022-04-02T10:00+08:00;R$3305.0;10
MEX-México;YYC-Canada;Lufthansa;2022-04-13T22:00-10:00;2022-04-14T15:00-01:00;R$2341.0;8
FEN-Brasil;LIS-Portugal;Gol Airlines;2022-04-21T08:00+11:00;2022-04-21T09:00-09:00;R$2242.0;21
GRU-Brasil;MEL-Austrália;Gol Airlines;2022-04-13T22:00-03:00;2022-04-14T08:00-11:00;R$3524.0;18
PEK-China;GRU-Brasil;AirFrance;2022-04-09T07:00-10:00;2022-04-10T18:00+04:00;R$2186.0;21
GRU-Brasil;FEN-Brasil;AirCanada;2022-04-25T17:00+07:00;2022-04-25T18:00-03:00;R$3793.0;11
JFK-Estados Unidos;MEL-Austrália;Gol Airlines;2022-04-27T14:00+04:00;2022-04-28T07:00+05:00;R$2550.0;16
FEN-Brasil;MEL-Austrália;United Airlines;2022-04-17T13:00+12:00;2022-04-17T10:00-08:00;R$3950.0;17
KIN-Jamaica;LIS-Portugal;AirFrance;2022-04-02T08:00+09:00;2022-04-02T15:00-02:00;R$4724.0;18
JFK-Estados Unidos;MEX-México;American Airlines;2022-04-01T01:00-10:00;2022-04-02T01:00-05:00;R$4677.0;19
JFK-Estados Unidos;GRU-Brasil;LATAM Airlines;2022-04-12T01:00+04:00;2022-04-12T07:00+06:00;R$3364.0;4
NRT-Japão;KIN-Jamaica;Ethiopian Airlines;2022-04-04T12:00-07:00;2022-04-06T02:00+07:00;R$2359.0;24
YYC-Canada;LIS-Portugal;Gol Airlines;2022-04-16T03:00+10:00;2022-04-16T08:00-09:00;R$4012.0;24
MEL-Austrália;LIS-Portugal;Gol Airlines;2022-04-30T20:00+10:00;2022-05-01T14:00+09:00;R$4052.0;19
NRT-Japão;FEN-Brasil;LATAM Airlines;2022-04-08T06:00+08:00;2022-04-08T04:00-02:00;R$3293.0;8
FEN-Brasil;YYC-Canada;Lufthansa;2022-04-07T08:00+07:00;2022-04-07T10:00Z;R$4675.0;9
FEN-Brasil;MEL-Austrália;Emirates;2022-04-23T18:00-11:00;2022-04-25T09:00+09:00;R$4191.0;19
GRU-Brasil;MEL-Austrália;Lufthansa;2022-04-10T14:00-07:00;2022-04-11T06:00+03:00;R$4848.0;6
KIN-Jamaica;FEN-Brasil;AirCanada;2022-04-22T10:00-11:00;2022-04-23T06:00-12:00;R$3408.0;21
JFK-Estados Unidos;NRT-Japão;Gol Airlines;2022-04-09T20:00+06:00;2022-04-10T04:00Z;R$3397.0;14
PEK-China;YYC-Canada;Ethiopian Airlines;2022-04-26T07:00+01:00;2022-04-26T15:00+04:00;R$4354.0;5
NRT-Japão;PEK-China;Lufthansa;2022-04-23T17:00-09:00;2022-04-24T19:00+09:00;R$3717.0;8
GRU-Brasil;YYC-Canada;American Airlines;2022-04-19T01:00-09:00;2022-04-19T15:00-08:00;R$4341.0;13
PEK-China;KIN-Jamaica;United Airlines;2022-04-14T23:00-11:00;2022-04-16T02:00-01:00;R$3478.0;17
JFK-Estados Unidos;MEL-Austrália;American Airlines;2022-04-24T04:00+04:00;2022-04-24T07:00-01:00;R$2907.0;8
YYC-Canada;LIS-Portugal;Qatar Airways;2022-04-05T04:00-01:00;2022-04-06T06:00+10:00;R$4256.0;15
KIN-Jamaica;YYC-Canada;Qatar Airways;2022-04-26T20:00-04:00;2022-04-28T03:00+08:00;R$3792.0;19
NRT-Japão;MEL-Austrália;United Airlines;2022-04-17T01:00+01:00;2022-04-17T16:00-03:00;R$2937.0;19
PEK-China;MEL-Austrália;United Airlines;2022-04-18T14:00-02:00;2022-04-19T03:00-07:00;R$4170.0;18
YYC-Canada;MEL-Austrália;AirCanada;2022-04-01T01:00-05:00;2022-04-02T00:00-04:00;R$4025.0;22
JFK-Estados Unidos;NRT-Japão;LATAM Airlines;2022-04-05T09:00-09:00;2022-04-06T02:00-11:00;R$3253.0;19
NRT-Japão;LIS-Portugal;Emirates;2022-04-27T09:00-04:00;2022-04-27T15:00+01:00;R$3185.0;1
JFK-Estados Unidos;FEN-Brasil;Qatar Airways;2022-04-17T15:00+04:00;2022-04-17T09:00-05:00;R$3929.0;3
GRU-Brasil;KIN-Jamaica;AirCanada;2022-04-27T04:00-12:00;2022-04-28T13:00+04:00;R$2891.0;17
JFK-Estados Unidos;LIS-Portugal;LATAM Airlines;2022-04-04T23:00+07:00;2022-04-05T03:00-04:00;R$4264.0;15
MEX-México;FEN-Brasil;AirFrance;2022-04-13T15:00+08:00;2022-04-14T12:00+07:00;R$4506.0;22
KIN-Jamaica;YYC-Canada;LATAM Airlines;2022-04-26T23:00+09:00;2022-04-26T03:00-12:00;R$3171.0;1
MEX-México;KIN-Jamaica;LATAM Airlines;2022-04-01T15:00+07:00;2022-04-01T12:00-03:00;R$2572.0;7
PEK-China;KIN-Jamaica;Qatar Airways;2022-04-30T03:00-08:00;2022-04-30T13:00-01:00;R$4081.0;3
